url,店舗名,住所,電話番号,営業時間,定休日,席数
https://sasp.mapion.co.jp/b/doutor/info/01010009/,ドトールコーヒーショップ 神田西口店,東京都千代田区内神田１‐１７ 小堀ビル１Ｆ,03-3233-2640,"平　日:
07:15 - 19:30



土曜日:
08:00 - 13:00



日　祝:
-",日曜、祝日,"総席数:
47


禁煙席:
18


喫煙席:
29"
https://sasp.mapion.co.jp/b/doutor/info/01010010/,ドトールコーヒーショップ 南青山店,東京都港区南青山５‐９‐２０,03-3498-7926,"平　日:
06:45 - 22:00



土曜日:
07:00 - 22:00



日　祝:
07:00 - 20:30",なし,"総席数:
45


禁煙席:
26


喫煙席:
19"
https://sasp.mapion.co.jp/b/doutor/info/01010030/,ドトールコーヒーショップ 西新宿１丁目店,東京都新宿区西新宿１‐１３‐８ 朝日新宿ビル,03-3345-9668,"平　日:
06:30 - 22:00



土曜日:
07:00 - 21:00



日　祝:
07:00 - 21:00",なし,"総席数:
130


禁煙席:
88


喫煙席:
42"
https://sasp.mapion.co.jp/b/doutor/info/01010035/,ドトールコーヒーショップ 渋谷１丁目店,東京都渋谷区渋谷１‐１４‐１５,03-3407-7745,"平　日:
07:00 - 22:00



土曜日:
07:30 - 22:00



日　祝:
07:30 - 22:00",なし,"総席数:
95


禁煙席:
72


喫煙席:
23"
https://sasp.mapion.co.jp/b/doutor/info/01010045/,ドトールコーヒーショップ 神保町２丁目店,東京都千代田区神田神保町２‐１７ 神田神保町ビル,03-3264-0320,"平　日:
07:30 - 20:00



土曜日:
09:00 - 18:00



日　祝:
10:00 - 18:00




備　考:日曜は休業　祝日は上記時間で営業",日曜,"総席数:
61


禁煙席:
22


喫煙席:
39"
https://sasp.mapion.co.jp/b/doutor/info/01010051/,ドトールコーヒーショップ 築地２丁目店,東京都中央区築地２‐１２‐８,03-3546-1136,"平　日:
06:45 - 20:00



土曜日:
07:30 - 19:00



日　祝:
08:00 - 18:00",なし,"総席数:
13


禁煙席:
7


喫煙席:
6"
https://sasp.mapion.co.jp/b/doutor/info/01010056/,ドトールコーヒーショップ 関内大通り店,神奈川県横浜市中区南仲通３‐３７ 千野ビル,045-212-2579,"平　日:
06:45 - 20:30



土曜日:
07:30 - 19:00



日　祝:
09:30 - 18:00",なし,"総席数:
33


禁煙席:
22


喫煙席:
11"
https://sasp.mapion.co.jp/b/doutor/info/01010064/,ドトールコーヒーショップ 東陽町店,東京都江東区東陽４‐５‐１８ メトロハイツ東陽,03-3645-4911,"平　日:
06:30 - 21:00



土曜日:
07:00 - 20:00



日　祝:
07:00 - 20:00",なし,"総席数:
18


禁煙席:
14


喫煙席:
4"
https://sasp.mapion.co.jp/b/doutor/info/01010067/,ドトールコーヒーショップ 水道橋東口店,東京都千代田区三崎町２‐１‐１６ プラージュビル１Ｆ,03-3264-3963,"平　日:
07:00 - 20:00



土曜日:
07:20 - 19:00



日　祝:
07:20 - 18:00",なし,"総席数:
74


禁煙席:
52


喫煙席:
22"
https://sasp.mapion.co.jp/b/doutor/info/01010074/,ドトールコーヒーショップ 新宿南口店,東京都渋谷区代々木２‐１０‐１ 新宿サンセイビル１Ｆ,03-3370-1457,"平　日:
07:00 - 22:00



土曜日:
07:00 - 22:00



日　祝:
08:00 - 21:00",なし,"総席数:
63


禁煙席:
31


喫煙席:
32"
https://sasp.mapion.co.jp/b/doutor/info/01010075/,ドトールコーヒーショップ 八丁堀店,東京都中央区八丁堀２-２６-１５,03-3553-2375,"平　日:
07:00 - 19:30



土曜日:
07:30 - 16:00



日　祝:
-",日曜、祝日,"総席数:
55


禁煙席:
29


喫煙席:
26"
https://sasp.mapion.co.jp/b/doutor/info/01010078/,ドトールコーヒーショップ 神保町３丁目店,東京都千代田区神田神保町３‐２,03-3262-2758,"平　日:
07:30 - 19:30



土曜日:
08:00 - 18:00



日　祝:
-",日曜、祝日,"総席数:
38


禁煙席:
7


喫煙席:
31"
https://sasp.mapion.co.jp/b/doutor/info/01010081/,ドトールコーヒーショップ 新橋銀座口店,東京都港区新橋１‐８‐４ 丸忠ビル１Ｆ,03-3571-6562,"平　日:
06:30 - 22:00




備　考:平日のみ21:30ラストオーダー


土曜日:
07:00 - 20:00



日　祝:
07:00 - 19:00",なし,"総席数:
73


禁煙席:
57


喫煙席:
16"
https://sasp.mapion.co.jp/b/doutor/info/01010083/,ドトールコーヒーショップ 日本橋本町店,東京都中央区日本橋本町２‐３‐１５,03-3243-1005,"平　日:
07:00 - 19:30




備　考:ラストオーダー　19：00


土曜日:
10:30 - 18:30




備　考:ラストオーダー　18：00


日　祝:
-",日曜、祝日,"総席数:
44


禁煙席:
22


喫煙席:
22"
https://sasp.mapion.co.jp/b/doutor/info/01010084/,ドトールコーヒーショップ 四谷３丁目店,東京都新宿区四谷３‐９,03-3351-5223,"平　日:
07:00 - 20:00



土曜日:
07:30 - 19:00



日　祝:
08:30 - 19:00",なし,"総席数:
58


禁煙席:
30


喫煙席:
28"
https://sasp.mapion.co.jp/b/doutor/info/01010089/,ドトールコーヒーショップ 京成立石店,東京都葛飾区立石４‐２５‐８ 近江ビル,03-3696-8694,"平　日:
07:30 - 21:00



土曜日:
07:30 - 21:00



日　祝:
07:30 - 21:00",なし,"総席数:
54


禁煙席:
29


喫煙席:
25"
https://sasp.mapion.co.jp/b/doutor/info/01010091/,ドトールコーヒーショップ 錦糸町店,東京都墨田区江東橋４‐２７‐１４ 楽天地ビル１Ｆ,03-3633-2629,"平　日:
07:00 - 22:00



土曜日:
07:00 - 22:00



日　祝:
08:00 - 22:00",なし,"総席数:
80


禁煙席:
53


喫煙席:
27"
https://sasp.mapion.co.jp/b/doutor/info/01010093/,ドトールコーヒーショップ 神谷町店,東京都港区虎ノ門４‐１‐１０ 青木ビル１Ｆ,03-3432-0567,"平　日:
07:00 - 20:00



土曜日:
08:00 - 16:00



日　祝:
-",日曜、祝日,"総席数:
66


禁煙席:
30


喫煙席:
36"
https://sasp.mapion.co.jp/b/doutor/info/01010094/,ドトールコーヒーショップ 横浜ジョイナス店,神奈川県横浜市西区南幸１‐４‐Ｂ１号,045-316-3316,"平　日:
07:00 - 22:00



土曜日:
07:00 - 22:00



日　祝:
07:00 - 22:00",なし,"総席数:
60


禁煙席:
49


喫煙席:
11"
https://sasp.mapion.co.jp/b/doutor/info/01010096/,ドトールコーヒーショップ 大森店,東京都大田区大森北１‐５‐５,03-3767-8928,"平　日:
07:00 - 21:00



土曜日:
07:00 - 21:00



日　祝:
07:00 - 21:00",なし,"総席数:
66


禁煙席:
35


喫煙席:
31"
https://sasp.mapion.co.jp/b/doutor/info/01010103/,ドトールコーヒーショップ 長後店,神奈川県藤沢市下土棚５０９‐１３ 小田急ＯＸ内,0466-45-7992,"平　日:
07:00 - 21:00



土曜日:
07:00 - 20:00



日　祝:
07:00 - 20:00",なし,"総席数:
55


禁煙席:
31


喫煙席:
24"
https://sasp.mapion.co.jp/b/doutor/info/01010104/,ドトールコーヒーショップ 関内桜通り店,神奈川県横浜市中区真砂町３‐２８,045-662-7214,"平　日:
07:00 - 21:00



土曜日:
07:30 - 21:00



日　祝:
09:00 - 19:00",なし,"総席数:
34


禁煙席:
18


喫煙席:
16"
https://sasp.mapion.co.jp/b/doutor/info/01010110/,ドトールコーヒーショップ 人形町３丁目店,東京都中央区日本橋人形町３‐３‐１０ 日本橋ＴＥＣビル,03-3668-8322,"平　日:
06:30 - 18:30



土曜日:
07:00 - 17:00



日　祝:
-",日曜、祝日,"総席数:
21


禁煙席:
6


喫煙席:
15"
https://sasp.mapion.co.jp/b/doutor/info/01010115/,ドトールコーヒーショップ 石川町店,神奈川県横浜市中区石川町１‐３,045-662-2370,"平　日:
07:00 - 22:00



土曜日:
07:00 - 22:00



日　祝:
07:00 - 22:00",なし,"総席数:
72


禁煙席:
34


喫煙席:
38"
https://sasp.mapion.co.jp/b/doutor/info/01010120/,ドトールコーヒーショップ 御徒町南口店,東京都台東区上野５‐２０‐６,03-3836-2808,"平　日:
07:30 - 21:00



土曜日:
08:00 - 20:00



日　祝:
08:00 - 20:00",なし,"総席数:
64


禁煙席:
47


喫煙席:
17"
https://sasp.mapion.co.jp/b/doutor/info/01010122/,ドトールコーヒーショップ 新宿サブナード店,東京都新宿区歌舞伎町１丁目 サブナード地下街１丁目,03-3354-6028,"平　日:
07:30 - 22:30



土曜日:
08:30 - 22:30



日　祝:
08:30 - 22:30",なし,"総席数:
29


禁煙席:
22


喫煙席:
7"
https://sasp.mapion.co.jp/b/doutor/info/01010126/,ドトールコーヒーショップ 岩本町２丁目店,東京都千代田区岩本町２‐８ 井桁ビル１Ｆ,03-3865-4154,"平　日:
07:00 - 19:00



土曜日:
08:00 - 14:00



日　祝:
-",日曜、祝日,"総席数:
51


禁煙席:
25


喫煙席:
26"
https://sasp.mapion.co.jp/b/doutor/info/01010127/,ドトールコーヒーショップ 川崎銀柳街店,神奈川県川崎市川崎区駅前本町４‐１３,044-244-8737,"平　日:
07:30 - 22:00




備　考:ラストオーダー　21:30


土曜日:
07:30 - 22:00




備　考:ラストオーダー　21:30


日　祝:
07:30 - 22:00




備　考:ラストオーダー　21:30",なし,"総席数:
83


禁煙席:
58


喫煙席:
25"
